,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed,position,height,weight,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
1473,1473,1473,1473,thorvath,Thomas Horvath,18,0.61,0.11,0.5,0.61,1.78,,0.0,0.22,0.0,0.17,0.39,0.0,0.0,,,,,,4.28,3.89,,6.67,1.28,5.39,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1474,1474,1474,1474,zzebarth,Zach Zebarth,41,0.56,0.2,0.37,0.61,3.56,92.41,0.37,0.29,0.0,0.07,0.41,0.0,0.17,,,,,,8.42,7.83,44.24,10.34,2.39,7.95,Handler,72.0,175.0,-2.253854914450793,-9.506064996373294e-05,0.77446546867833,-0.3426197967597067,1.1933141097029467,0.0903264378658063,0.40626618024290156
1475,1475,1475,1475,dbossert,Dane Bossert,10,0.9,0.2,0.7,0.6,3.2,,0.5,0.4,0.0,0.4,0.5,0.0,0.0,58.6,-1.6,60.2,0.0,,15.08,11.1,36.04,12.3,4.1,8.2,Defender,,,-0.5682319089502103,-0.1184792904078431,-0.20609672861362194,-0.09212248692943402,-0.249419726605999,-0.0231081757627084,-0.16652955813922452
1476,1476,1476,1476,dzhou,David Zhou,10,0.9,0.3,0.6,0.6,4.1,,0.4,0.3,0.0,0.2,0.2,0.0,0.0,65.4,39.4,26.0,0.3,,16.2,9.7,,15.0,1.3,13.7,Handler,68.0,130.0,-1.697505492508364,-0.5785517270596835,1.1083350007128112,-0.8224435287625571,-0.9076897405303489,-0.008557312349844437,-0.30008749890994457
1477,1477,1477,1477,eela,Eric Ela,15,2.6,1.47,1.13,0.6,15.33,85.82,0.0,2.53,0.0,0.47,1.0,0.0,1.0,,,,,,0.0,0.0,,16.4,8.93,7.47,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1478,1478,1478,1478,jbeaulieu,Josh Beaulieu,20,0.95,0.35,0.6,0.6,3.35,,0.0,0.45,0.0,0.15,0.25,0.0,0.0,,,,,,3.98,3.35,,6.2,2.35,3.85,,68.0,160.0,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1479,1479,1479,1479,jbutrica,Jake Butrica,10,1.3,0.8,0.5,0.6,10.7,89.92,0.3,1.1,0.0,0.0,0.4,0.0,0.5,100.4,66.8,33.6,0.1,,16.68,9.8,,13.2,3.8,9.4,Handler,,135.0,0.1761631808567291,0.10602330186073063,0.7268165104989236,0.28450361101123434,0.2408538545160969,0.1251885402142011,0.3395493194717464
1480,1480,1480,1480,jherron,Jimmy Herron,20,0.35,0.05,0.3,0.6,1.4,,0.05,0.1,0.0,0.05,0.4,0.0,0.0,,,,,,1.5,1.5,,8.3,1.35,6.95,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1481,1481,1481,1481,jspiro,Jacob Spiro,15,0.47,0.27,0.2,0.6,0.67,,0.07,0.07,0.0,0.0,0.2,0.0,0.07,,,,,,2.4,2.0,,9.33,0.67,8.67,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
1482,1482,1482,1482,knicholl,Kevin Nicholl,30,0.53,0.13,0.4,0.6,3.93,92.91,0.2,0.27,0.03,0.2,0.53,0.0,0.1,43.0,10.0,33.0,0.0,,13.21,10.9,26.3,13.0,4.0,9.0,Defender,69.0,125.0,-0.6400567674713327,0.42741165671679904,-0.7221524332152106,0.13779128741333266,-1.0257104389964855,-0.07199560066830626,-0.2956649820203911
1483,1483,1483,1483,lbertonci,Louie Bertoncin,10,0.4,0.2,0.2,0.6,4.6,,0.1,0.1,0.0,0.1,0.4,0.0,0.0,51.4,32.5,18.9,0.0,,11.65,7.7,,11.1,3.9,7.2,Handler,,,-0.5033309151988242,0.08090196788557462,0.30284552083831257,-0.4590011384411085,0.543531406576021,0.009766708852506462,0.11706943921469991
1484,1484,1484,1484,ldillow,Lucas Dillow,10,1.1,0.5,0.6,0.6,3.6,,0.3,0.6,0.0,0.1,0.2,0.0,0.2,,,,,,12.09,9.2,,14.0,0.7,13.3,Handler,,,-1.7062906750698337,-0.35899517127814184,0.8038893082047329,-0.015767497620472335,-0.970061686280441,0.054660456434301806,-0.13523376174358057
1485,1485,1485,1485,mshepard,Max Shepard,10,0.6,0.1,0.5,0.6,4.4,,0.4,0.4,0.0,0.4,0.8,0.0,0.0,,,,,,11.38,10.6,39.62,10.5,0.8,9.7,Defender,,,0.063257057346377,0.17182713853054035,-0.326332139879146,0.04146539875895512,0.22466883179013555,-0.0020437037104529356,0.027907307300121257
1486,1486,1486,1486,nphelps,Neal Phelps,42,0.9,0.52,0.38,0.6,8.71,92.89,0.69,0.6,0.0,0.21,0.5,0.0,0.17,,,,,,16.05,14.05,37.29,15.76,3.71,12.05,Handler,72.0,175.0,-2.372817777210004,-0.8108224201549342,0.02337953277155411,-0.7563851714997317,-0.4601419834111394,-0.08640877955844284,-0.5009925105735628
1487,1487,1487,1487,pbarron,Pat Barron,10,0.9,0.2,0.7,0.6,4.9,,0.4,0.6,0.0,0.1,0.4,0.0,0.0,72.4,23.2,49.2,0.1,,17.0,14.3,51.05,16.5,8.5,8.0,Cutter,,,0.1444493169490635,0.3086056456670733,-1.3222459106884596,-1.088559879719213,-0.3076134365650795,-0.2453729933373793,-0.6024533953264197
1488,1488,1488,1488,pcarr,Pete Carr,15,0.87,0.53,0.33,0.6,17.67,96.36,0.73,0.53,0.07,0.13,0.4,0.0,0.07,,,,,,13.42,16.67,40.8,13.73,10.2,3.53,Handler,,,0.1061044800159659,-0.23343054220140302,-0.9053248054519426,-0.9169571439475694,0.16293391803811952,-0.1698312036054264,-0.47319464339069894
1489,1489,1489,1489,rweaver,Ryan Weaver,25,1.84,1.24,0.6,0.6,20.6,92.29,1.12,1.44,0.0,0.04,0.24,0.0,0.04,236.75,162.25,74.5,0.67,66.67,17.95,19.92,49.2,16.32,13.04,3.28,Handler,72.0,185.0,0.9061204174276704,0.17878297974384574,0.07716139137739879,-0.09361792659070997,0.019011865742905816,0.012664167499015432,0.04533457756836009
