,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,year,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,height,weight,predicted position,player_id,oscorerate,dscorerate,o_point_on_off_rating,d_point_on_off_rating,total_on_off_rating,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
52,52,52,52,52,52,kdziak,KJ Dziak,13,3.85,3.08,0.77,2.0,16.15,92.51,0.0,2.62,0.0,0.15,0.92,0.0,0.0,ROC,2012,,,,,,,,,,,,,,Handler,,,,,,,0.6727864166285733,-0.01679968439364116,-0.3948442327179057,0.6691880203817563,-0.021807849950490812,0.05588611808266756,0.058934063329929655
53,53,53,53,53,53,mpanna,Michael Panna,12,2.42,1.17,1.25,2.0,6.58,85.87,0.0,1.08,0.0,0.33,1.0,0.0,0.0,PHS,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
54,54,54,54,54,54,pcherosky,Phil Cherosky,13,2.85,2.31,0.54,2.0,13.08,89.01,0.0,1.62,0.0,0.38,1.15,0.0,0.0,CLB,2012,,,,,,,,,,,,,,Handler,,,,,,,0.9893641495565209,0.25404570906922613,-0.817063372958292,-0.09647514776717933,-1.5553096515035987,-0.1268343990280656,-0.553700615789961
55,55,55,55,55,55,bivers,Ben Ivers,8,1.38,0.0,1.38,1.88,1.75,,0.0,0.25,0.0,0.13,0.88,0.0,0.0,IND,2012,,,,,,,,,,,,,,Defender,,,,,,,-0.9407924700294972,-0.43532686469655874,0.7890732068017229,-0.9468304531010778,-1.0087353504886318,-0.05642538504815801,-0.4004548653711364
56,56,56,56,56,56,jcari,Joey Cari,8,1.38,1.13,0.25,1.88,4.25,89.47,0.0,0.5,0.0,0.13,1.13,0.0,0.0,IND,2012,,,,,,,,,,,,66.0,150.0,Handler,,,,,,,-0.2648274061440001,-0.5809323743492211,0.4282351076814584,-0.5531541643517538,1.0320190398022082,0.02778624792650373,0.08154190219567292
57,57,57,57,57,57,celworth,Chris Elworth,7,1.29,0.29,1.0,1.86,5.29,97.37,0.0,0.71,0.0,0.14,1.43,0.0,0.0,CIN,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
58,58,58,58,58,58,msmith,Matt Smith,14,2.5,0.79,1.71,1.86,8.21,89.84,0.0,0.93,0.0,0.5,0.79,0.0,0.0,RIR,2012,,,,,,,,,,,,67.0,,Cutter,,,,,,,4.617033010707087,1.976868545584603,3.8825488560677845,-0.513674956231185,-0.3618981629220809,0.3058130549410498,1.2459610706247803
59,59,59,59,59,59,erathbun,Eric Rathbun,5,1.2,0.2,1.0,1.8,8.2,89.13,0.0,1.0,0.0,0.0,1.6,0.0,0.0,CON,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
60,60,60,60,60,60,troth,Terry Roth,9,1.33,0.22,1.11,1.78,1.89,,0.0,0.22,0.0,0.0,0.67,0.0,0.0,RIR,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
61,61,61,61,61,61,jshepard,Joshua Shepard,13,2.85,1.15,1.69,1.77,12.69,96.49,0.0,1.38,0.0,0.15,0.46,0.0,0.0,IND,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
62,62,62,62,62,62,acain,Anthony Cain,12,1.92,0.67,1.25,1.75,7.42,89.0,0.0,0.92,0.0,0.08,0.83,0.0,0.0,CIN,2012,,,,,,,,,,,,,,,,,,,,,,0.0,-6.189938112900149e-18,0.0,1.6363871874882412e-17,,2.5434834404955655e-18
